Gene.Symbol,Refseq_ID,logFC
Mvk,Mvk,-1.08610720916179
E2f5,E2f5,-1.08700942101863
Eps15,Eps15,-1.08785648980282
Coq7,Coq7,-1.0922112255135301
Snx5,Snx5,-1.0950752980106702
Fam120c,Fam120c,-1.09690781564047
Rnf126,Rnf126,-1.09771015803013
Apln,Apln,-1.10338197066874
Lgi3,Lgi3,-1.10523717366958
Pigs,Pigs,-1.1074780724789
Tmem9,Tmem9,-1.11165163098809
Kpna3,Kpna3,-1.11325245966936
Btbd17,Btbd17,-1.11774834044139
Ntm,Ntm,-1.12117325625621
Sirpa,Sirpa,-1.12213278492556
Sgpp1,Sgpp1,-1.12672600008357
Sdc2,Sdc2,-1.12805189474856
Smyd1,Smyd1,-1.13314043139754
Ank,Ank,-1.1346454359551998
Scg5,Scg5,-1.1360028385625
Ccnd2,Ccnd2,-1.1383466281576298
Sfxn1,Sfxn1,-1.14488608940767
1110001j03rik,Fmc1,-1.1479319130281
Dhcr7,Dhcr7,-1.14849241913725
Fbxo2,Fbxo2,-1.15840251351224
4930402h24rik,4930402h24rik,-1.1587553188006499
Adcyap1r1,Adcyap1r1,-1.1700002469598898
Gdpd2,Gdpd2,-1.1772561887871102
Metrn,Metrn,-1.17795959252125
Gstt3,Gstt3,-1.1779711855041102
Rab33b,Rab33b,-1.17903493542074
Ephx2,Ephx2,-1.18057262854028
Tmem255a,Tmem255a,-1.18248279445018
Tmed2,Tmed2,-1.18350560254479
Fxyd6,Fxyd6,-1.18541082396483
Polr3h,Polr3h,-1.1883885785194
Slc35b2,Slc35b2,-1.19083930589571
Apip,Apip,-1.1914157780589099
Qdpr,Qdpr,-1.19265487481533
Eno1b,Eno1b,-1.20300918929652
Tspan33,Tspan33,-1.22007702135008
Slc13a3,Slc13a3,-1.2258153393692701
Osgep,Osgep,-1.22787271951223
Pgm5,Pgm5,-1.2340076311922599
Tmem35,Tmem35a,-1.2462471355062599
Paqr6,Paqr6,-1.24799082269005
Cers5,Cers5,-1.26645874256272
